gene1_idx,Gene1_Entrez_ID,gene2_idx,Gene2_Entrez_ID,combined_score,PPI_score
50,597,52,599,509.0,0.509
50,597,250,2289,739.0,0.739
50,597,315,3320,891.0,0.891
50,597,316,3326,858.0,0.858
50,597,379,4170,459.0,0.459
50,597,420,4790,455.0,0.455
50,597,626,6776,658.0,0.658
50,597,729,8520,487.0,0.487
50,597,820,10017,478.0,0.478
51,598,52,599,916.0,0.916
51,598,90,842,718.0,0.718
51,598,137,1432,466.0,0.466
51,598,186,1956,480.0,0.48
51,598,262,2475,457.0,0.457
51,598,286,2908,408.0,0.408
51,598,289,2932,569.0,0.569
51,598,345,3708,745.0,0.745
51,598,358,3845,931.0,0.931
51,598,379,4170,982.0,0.982
51,598,461,5289,449.0,0.449
51,598,476,5328,422.0,0.422
51,598,486,5499,442.0,0.442
51,598,520,5599,542.0,0.542
51,598,534,5663,468.0,0.468
51,598,561,5894,786.0,0.786
51,598,614,6622,448.0,0.448
51,598,639,6921,871.0,0.871
51,598,654,7157,999.0,0.999
51,598,680,7444,568.0,0.568
51,598,820,10017,449.0,0.449
51,598,885,11315,610.0,0.61
51,598,1032,57142,489.0,0.489
52,599,379,4170,898.0,0.898
52,599,486,5499,585.0,0.585
52,599,820,10017,449.0,0.449
53,604,296,3065,745.0,0.745
53,604,315,3320,567.0,0.567
53,604,654,7157,512.0,0.512
53,604,697,7874,420.0,0.42
53,604,800,9611,998.0,0.998
53,604,801,9612,999.0,0.999
53,604,806,9734,807.0,0.807
53,604,808,9759,941.0,0.941
53,604,819,10014,499.0,0.499
53,604,915,23411,743.0,0.743
53,604,927,23683,509.0,0.509
53,604,955,29117,499.0,0.499
53,604,977,51564,648.0,0.648
54,613,239,2242,457.0,0.457
54,613,285,2885,735.0,0.735
54,613,295,3055,457.0,0.457
54,613,315,3320,457.0,0.457
54,613,355,3815,657.0,0.657
54,613,462,5290,499.0,0.499
54,613,466,5294,657.0,0.657
54,613,467,5295,716.0,0.716
54,613,617,6654,457.0,0.457
54,613,654,7157,420.0,0.42
54,613,752,8805,400.0,0.4
54,613,943,27154,420.0,0.42
55,640,186,1956,523.0,0.523
55,640,625,6774,659.0,0.659
56,641,108,1019,800.0,0.8
56,641,237,2237,500.0,0.5
56,641,399,4361,716.0,0.716
56,641,404,4609,619.0,0.619
56,641,560,5888,797.0,0.797
56,641,654,7157,465.0,0.465
56,641,655,7158,622.0,0.622
56,641,684,7486,630.0,0.63
56,641,1076,84126,499.0,0.499
57,652,58,657,995.0,0.995
57,652,59,658,991.0,0.991
57,652,60,659,990.0,0.99
57,652,635,6850,420.0,0.42
57,652,644,7046,400.0,0.4
58,657,59,658,997.0,0.997
