Molecule_ChEMBL_ID,Molecule_Pref_Name,Drug_CID,Drug_GDSC,Canonical_SMILES
CHEMBL90140,,44325122,FALSE,CC1=C(SCCCCO)C(=O)c2ccccc2C1=O
CHEMBL48796,,5329687,FALSE,CC(C)(C)c1cnc(CSc2cnc(NC(=O)c3ccccc3)s2)o1
CHEMBL129107,,5329691,FALSE,CC(C)(C)c1cnc(CSc2cnc(NS(=O)(=O)c3ccccc3)s2)o1
CHEMBL195491,DEHYDROILLUDIN M,362430,FALSE,CC1=C2C(=O)C(C)(C)C=C2C(=O)[C@](C)(O)C12CC2
CHEMBL7994,,44265292,FALSE,CC1=C/C(=C\c2cccs2)C(=O)C(C)(O)C12CC2
CHEMBL25336,BISANTRENE,5351322,FALSE,C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12
CHEMBL150850,,10763319,FALSE,CCC1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(Cl)ccc3nc2-1
CHEMBL65,CAMPTOTHECIN,24360,TRUE,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
CHEMBL126993,,5329673,FALSE,CCc1cnc(CSc2cnc(NC(=O)C(C)C)s2)o1
CHEMBL18155,,360682,FALSE,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1
